timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212325.868202372|book_reviews_nginx_scale|0.00%|13.29MiB|7.406GiB|18
1790212325.868202372|book_reviews_app3_scale|0.54%|144MiB|7.406GiB|55
1790212325.868202372|book_reviews_app1_scale|0.41%|162.5MiB|7.406GiB|55
1790212325.868202372|book_reviews_app2_scale|0.41%|149.4MiB|7.406GiB|55
1790212325.868202372|book_reviews_cache|0.29%|16.79MiB|7.406GiB|6
1790212325.868202372|book_reviews_search|0.84%|623.6MiB|7.406GiB|130
1790212325.868202372|book_reviews_mongodb|1.06%|236.6MiB|7.406GiB|71
1790212325.868202372|k3d-sa-a4-serverlb|0.00%|5.258MiB|7.406GiB|27
1790212325.868202372|k3d-sa-a4-agent-0|5.86%|1.473GiB|7.406GiB|329
1790212325.868202372|k3d-sa-a4-server-0|9.31%|1.405GiB|7.406GiB|433
1790212325.868202372|k3d-a4-registry|0.00%|10.83MiB|7.406GiB|19
1790212325.868202372|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.25%|35.86MiB|7.406GiB|6
1790212330.596197721|book_reviews_nginx_scale|0.00%|12.37MiB|7.406GiB|18
1790212330.596197721|book_reviews_app3_scale|0.12%|142MiB|7.406GiB|55
1790212330.596197721|book_reviews_app1_scale|0.30%|162.1MiB|7.406GiB|55
1790212330.596197721|book_reviews_app2_scale|0.09%|148.9MiB|7.406GiB|55
1790212330.596197721|book_reviews_cache|0.27%|13.89MiB|7.406GiB|6
1790212330.596197721|book_reviews_search|0.71%|629.4MiB|7.406GiB|130
1790212330.596197721|book_reviews_mongodb|55.01%|207.8MiB|7.406GiB|71
1790212330.596197721|k3d-sa-a4-serverlb|0.00%|5.672MiB|7.406GiB|27
1790212330.596197721|k3d-sa-a4-agent-0|9.47%|1.42GiB|7.406GiB|329
1790212330.596197721|k3d-sa-a4-server-0|31.41%|1.537GiB|7.406GiB|439
1790212330.596197721|k3d-a4-registry|0.00%|16.18MiB|7.406GiB|19
1790212330.596197721|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|28.8MiB|7.406GiB|6
1790212335.434459991|book_reviews_nginx_scale|0.00%|12.4MiB|7.406GiB|18
1790212335.434459991|book_reviews_app3_scale|0.54%|142.3MiB|7.406GiB|55
1790212335.434459991|book_reviews_app1_scale|0.32%|162.1MiB|7.406GiB|55
1790212335.434459991|book_reviews_app2_scale|0.43%|148.6MiB|7.406GiB|55
1790212335.434459991|book_reviews_cache|1.84%|11.77MiB|7.406GiB|6
1790212335.434459991|book_reviews_search|0.78%|624.1MiB|7.406GiB|130
1790212335.434459991|book_reviews_mongodb|2.18%|134.2MiB|7.406GiB|72
1790212335.434459991|k3d-sa-a4-serverlb|0.00%|5.367MiB|7.406GiB|27
1790212335.434459991|k3d-sa-a4-agent-0|6.69%|1.496GiB|7.406GiB|329
1790212335.434459991|k3d-sa-a4-server-0|10.72%|1.411GiB|7.406GiB|433
1790212335.434459991|k3d-a4-registry|0.00%|11.99MiB|7.406GiB|19
1790212335.434459991|proyecto-del-curso-grupo_10_los_inhackeables-db-1|5.46%|39.81MiB|7.406GiB|6
1790212340.140192192|book_reviews_nginx_scale|0.00%|12.51MiB|7.406GiB|18
1790212340.140192192|book_reviews_app3_scale|0.52%|142.7MiB|7.406GiB|55
