timestamp|container|threads
1790212325.868202372|book_reviews_nginx_scale|19
1790212325.868202372|book_reviews_app3_scale|56
1790212325.868202372|book_reviews_app1_scale|56
1790212325.868202372|book_reviews_app2_scale|56
1790212325.868202372|book_reviews_cache|7
1790212325.868202372|book_reviews_search|131
1790212325.868202372|book_reviews_mongodb|72
1790212325.868202372|k3d-sa-a4-serverlb|28
1790212325.868202372|k3d-sa-a4-agent-0|330
1790212325.868202372|k3d-sa-a4-server-0|447
1790212325.868202372|k3d-a4-registry|20
1790212325.868202372|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212330.596197721|book_reviews_nginx_scale|19
1790212330.596197721|book_reviews_app3_scale|56
1790212330.596197721|book_reviews_app1_scale|56
1790212330.596197721|book_reviews_app2_scale|56
1790212330.596197721|book_reviews_cache|7
1790212330.596197721|book_reviews_search|131
1790212330.596197721|book_reviews_mongodb|72
1790212330.596197721|k3d-sa-a4-serverlb|28
1790212330.596197721|k3d-sa-a4-agent-0|330
1790212330.596197721|k3d-sa-a4-server-0|434
1790212330.596197721|k3d-a4-registry|20
1790212330.596197721|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212335.434459991|book_reviews_nginx_scale|19
1790212335.434459991|book_reviews_app3_scale|56
1790212335.434459991|book_reviews_app1_scale|56
1790212335.434459991|book_reviews_app2_scale|56
1790212335.434459991|book_reviews_cache|7
1790212335.434459991|book_reviews_search|131
1790212335.434459991|book_reviews_mongodb|72
1790212335.434459991|k3d-sa-a4-serverlb|28
1790212335.434459991|k3d-sa-a4-agent-0|330
1790212335.434459991|k3d-sa-a4-server-0|434
1790212335.434459991|k3d-a4-registry|20
1790212335.434459991|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212340.140192192|book_reviews_nginx_scale|19
1790212340.140192192|book_reviews_app3_scale|56
1790212340.140192192|book_reviews_app1_scale|56
1790212340.140192192|book_reviews_app2_scale|56
1790212340.140192192|book_reviews_cache|7
1790212340.140192192|book_reviews_search|131
1790212340.140192192|book_reviews_mongodb|85
1790212340.140192192|k3d-sa-a4-serverlb|28
1790212340.140192192|k3d-sa-a4-agent-0|330
1790212340.140192192|k3d-sa-a4-server-0|434
1790212340.140192192|k3d-a4-registry|20
1790212340.140192192|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212345.171308487|book_reviews_nginx_scale|19
1790212345.171308487|book_reviews_app3_scale|56
1790212345.171308487|book_reviews_app1_scale|56
1790212345.171308487|book_reviews_app2_scale|56
1790212345.171308487|book_reviews_cache|7
1790212345.171308487|book_reviews_search|131
1790212345.171308487|book_reviews_mongodb|72
1790212345.171308487|k3d-sa-a4-serverlb|28
1790212345.171308487|k3d-sa-a4-agent-0|330
1790212345.171308487|k3d-sa-a4-server-0|434
1790212345.171308487|k3d-a4-registry|20
1790212345.171308487|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212349.954433697|book_reviews_nginx_scale|19
1790212349.954433697|book_reviews_app3_scale|56
1790212349.954433697|book_reviews_app1_scale|56
1790212349.954433697|book_reviews_app2_scale|56
1790212349.954433697|book_reviews_cache|7
1790212349.954433697|book_reviews_search|131
1790212349.954433697|book_reviews_mongodb|72
1790212349.954433697|k3d-sa-a4-serverlb|28
1790212349.954433697|k3d-sa-a4-agent-0|330
1790212349.954433697|k3d-sa-a4-server-0|434
1790212349.954433697|k3d-a4-registry|20
1790212349.954433697|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212354.881440825|book_reviews_nginx_scale|19
1790212354.881440825|book_reviews_app3_scale|56
1790212354.881440825|book_reviews_app1_scale|56
1790212354.881440825|book_reviews_app2_scale|56
1790212354.881440825|book_reviews_cache|7
1790212354.881440825|book_reviews_search|131
1790212354.881440825|book_reviews_mongodb|72
1790212354.881440825|k3d-sa-a4-serverlb|28
1790212354.881440825|k3d-sa-a4-agent-0|330
1790212354.881440825|k3d-sa-a4-server-0|434
1790212354.881440825|k3d-a4-registry|20
1790212354.881440825|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
