uid,status,bytes,seconds
0,200,11402,0.079301
1,200,11402,0.121424
2,200,11402,0.084875
3,200,11402,0.034598
4,200,11402,0.144487
5,200,11402,0.054717
6,200,11402,0.080018
7,200,11402,0.090701
8,200,11402,0.097716
9,200,11402,0.018371
10,200,11402,0.077752
11,200,11402,0.015672
12,200,11402,0.014524
13,200,11402,0.030467
14,200,11402,0.028060
15,200,11402,0.029986
16,200,11402,0.038068
17,200,11402,0.021241
18,200,11402,0.033655
19,200,11402,0.029467
20,200,11402,0.039635
21,200,11402,0.049323
22,200,11402,0.032494
23,200,11402,0.076469
24,200,11402,0.078549
25,200,11402,0.097238
26,200,11402,0.055757
27,200,11402,0.050995
28,200,11402,0.040679
29,200,11402,0.100193
30,200,11402,0.076047
31,200,11402,0.053480
32,200,11402,0.086970
33,200,11402,0.147442
34,200,11402,0.107023
35,200,11402,0.099565
36,200,11402,0.119053
37,200,11402,0.059549
38,200,11402,0.112874
39,200,11402,0.043323
40,200,11402,0.104848
41,200,11402,0.120073
42,200,11402,0.150726
43,200,11402,0.128002
44,200,11402,0.059133
45,200,11402,0.084601
46,200,11402,0.060904
47,200,11402,0.077683
48,200,11402,0.152350
49,200,11402,0.078854
50,200,11402,0.093389
51,200,11402,0.117555
52,200,11402,0.150924
53,200,11402,0.077687
54,200,11402,0.137738
55,200,11402,0.146964
56,200,11402,0.090408
57,200,11402,0.064464
58,200,11402,0.094464
59,200,11402,0.079620
60,200,11402,0.081707
61,200,11402,0.130166
62,200,11402,0.083786
63,200,11402,0.104607
64,200,11402,0.061827
65,200,11402,0.083022
66,200,11402,0.132874
67,200,11402,0.047726
68,200,11402,0.093572
69,200,11402,0.130497
70,200,11402,0.061914
71,200,11402,0.131404
72,200,11402,0.101194
73,200,11402,0.171662
74,200,11402,0.090489
75,200,11402,0.106588
76,200,11402,0.088820
77,200,11402,0.079705
78,200,11402,0.147842
79,200,11402,0.100889
80,200,11402,0.095632
81,200,11402,0.095298
82,200,11402,0.095148
83,200,11402,0.076015
84,200,11402,0.115255
85,200,11402,0.070438
86,200,11402,0.091735
87,200,11402,0.074315
88,200,11402,0.066535
89,200,11402,0.081441
90,200,11402,0.136465
91,200,11402,0.102268
92,200,11402,0.077742
93,200,11402,0.115443
94,200,11402,0.073788
95,200,11402,0.128548
96,200,11402,0.089424
97,200,11402,0.096691
98,200,11402,0.103229
99,200,11402,0.116854
100,200,11402,0.092805
101,200,11402,0.087841
102,200,11402,0.078503
103,200,11402,0.065023
104,200,11402,0.093908
105,200,11402,0.065785
106,200,11402,0.114512
107,200,11402,0.090979
108,200,11402,0.059504
109,200,11402,0.070977
110,200,11402,0.075500
111,200,11402,0.085377
112,200,11402,0.142726
113,200,11402,0.122501
114,200,11402,0.096631
115,200,11402,0.110298
116,200,11402,0.093142
117,200,11402,0.071888
118,200,11402,0.068616
119,200,11402,0.104236
120,200,11402,0.053327
121,200,11402,0.055198
122,200,11402,0.066047
123,200,11402,0.093723
124,200,11402,0.100549
125,200,11402,0.054766
126,200,11402,0.054033
127,200,11402,0.059948
128,200,11402,0.073467
129,200,11402,0.115127
130,200,11402,0.097656
131,200,11402,0.097743
132,200,11402,0.072935
133,200,11402,0.092615
134,200,11402,0.096640
135,200,11402,0.067154
136,200,11402,0.123431
137,200,11402,0.076057
138,200,11402,0.081905
139,200,11402,0.101226
140,200,11402,0.118259
141,200,11402,0.037643
142,200,11402,0.050890
143,200,11402,0.115011
144,200,11402,0.101646
145,200,11402,0.059269
146,200,11402,0.086118
147,200,11402,0.061979
148,200,11402,0.089765
149,200,11402,0.122225
150,200,11402,0.112864
151,200,11402,0.067751
152,200,11402,0.102945
153,200,11402,0.069374
154,200,11402,0.058725
155,200,11402,0.083257
156,200,11402,0.103772
157,200,11402,0.070364
158,200,11402,0.050960
159,200,11402,0.108101
160,200,11402,0.103185
161,200,11402,0.059892
162,200,11402,0.071466
163,200,11402,0.041885
164,200,11402,0.050243
165,200,11402,0.058338
166,200,11402,0.059195
167,200,11402,0.050066
168,200,11402,0.071841
169,200,11402,0.086130
170,200,11402,0.079814
171,200,11402,0.082683
172,200,11402,0.072465
173,200,11402,0.090351
174,200,11402,0.090534
175,200,11402,0.139616
176,200,11402,0.080454
177,200,11402,0.048669
178,200,11402,0.057537
179,200,11402,0.064014
180,200,11402,0.069748
181,200,11402,0.066213
182,200,11402,0.038141
183,200,11402,0.068462
184,200,11402,0.067301
185,200,11402,0.068525
186,200,11402,0.104437
187,200,11402,0.061786
188,200,11402,0.058695
189,200,11402,0.108302
190,200,11402,0.105816
191,200,11402,0.127417
192,200,11402,0.035964
193,200,11402,0.116305
194,200,11402,0.093649
195,200,11402,0.100791
196,200,11402,0.106316
197,200,11402,0.102264
198,200,11402,0.082026
199,200,11402,0.072397
200,200,11402,0.046721
201,200,11402,0.065559
202,200,11402,0.114561
203,200,11402,0.070427
204,200,11402,0.088851
205,200,11402,0.112960
206,200,11402,0.095679
207,200,11402,0.052674
208,200,11402,0.048967
209,200,11402,0.070524
210,200,11402,0.041840
211,200,11402,0.032656
212,200,11402,0.090929
213,200,11402,0.033206
214,200,11402,0.079169
215,200,11402,0.065107
216,200,11402,0.067276
217,200,11402,0.096348
218,200,11402,0.085161
219,200,11402,0.086284
220,200,11402,0.093158
221,200,11402,0.055418
222,200,11402,0.044201
223,200,11402,0.062536
224,200,11402,0.086021
225,200,11402,0.086479
226,200,11402,0.064234
227,200,11402,0.084300
228,200,11402,0.068941
229,200,11402,0.067556
230,200,11402,0.098426
231,200,11402,0.062536
232,200,11402,0.106037
233,200,11402,0.067533
234,200,11402,0.093235
235,200,11402,0.083500
236,200,11402,0.076535
237,200,11402,0.035549
238,200,11402,0.071435
239,200,11402,0.092592
240,200,11402,0.047906
241,200,11402,0.081081
242,200,11402,0.076482
243,200,11402,0.128754
244,200,11402,0.076764
245,200,11402,0.075236
246,200,11402,0.038144
247,200,11402,0.074520
248,200,11402,0.047648
249,200,11402,0.055213
250,200,11402,0.047393
251,200,11402,0.098197
252,200,11402,0.053116
253,200,11402,0.078479
254,200,11402,0.054918
255,200,11402,0.119958
256,200,11402,0.113047
257,200,11402,0.107998
258,200,11402,0.060707
259,200,11402,0.055344
260,200,11402,0.064963
261,200,11402,0.115042
262,200,11402,0.128060
263,200,11402,0.055019
264,200,11402,0.110306
265,200,11402,0.055618
266,200,11402,0.084738
267,200,11402,0.040195
268,200,11402,0.089967
269,200,11402,0.055849
270,200,11402,0.070020
271,200,11402,0.089788
272,200,11402,0.047991
273,200,11402,0.101597
274,200,11402,0.052899
275,200,11402,0.058246
276,200,11402,0.057441
277,200,11402,0.094370
278,200,11402,0.119543
279,200,11402,0.060575
280,200,11402,0.072296
281,200,11402,0.079023
282,200,11402,0.094974
283,200,11402,0.137026
284,200,11402,0.044681
285,200,11402,0.060621
286,200,11402,0.103002
287,200,11402,0.108477
288,200,11402,0.061543
289,200,11402,0.030625
290,200,11402,0.116068
291,200,11402,0.047578
292,200,11402,0.076706
293,200,11402,0.056284
294,200,11402,0.073734
295,200,11402,0.073773
296,200,11402,0.060986
297,200,11402,0.095076
298,200,11402,0.080198
299,200,11402,0.080090
300,200,11402,0.080751
301,200,11402,0.080040
302,200,11402,0.080613
303,200,11402,0.068878
304,200,11402,0.103668
305,200,11402,0.096505
306,200,11402,0.118179
307,200,11402,0.057230
308,200,11402,0.085767
309,200,11402,0.075813
310,200,11402,0.068954
311,200,11402,0.085796
312,200,11402,0.056515
313,200,11402,0.058000
314,200,11402,0.099546
315,200,11402,0.061995
316,200,11402,0.099226
317,200,11402,0.065674
318,200,11402,0.083903
319,200,11402,0.097575
320,200,11402,0.114454
321,200,11402,0.111932
322,200,11402,0.083422
323,200,11402,0.121882
324,200,11402,0.054198
325,200,11402,0.097986
326,200,11402,0.073532
327,200,11402,0.102829
328,200,11402,0.094634
329,200,11402,0.060985
330,200,11402,0.079775
331,200,11402,0.060054
332,200,11402,0.069746
333,200,11402,0.093214
334,200,11402,0.039148
335,200,11402,0.096125
336,200,11402,0.069870
337,200,11402,0.090256
338,200,11402,0.086778
339,200,11402,0.097006
340,200,11402,0.083487
341,200,11402,0.077927
342,200,11402,0.064912
343,200,11402,0.095412
344,200,11402,0.081274
345,200,11402,0.056617
346,200,11402,0.087578
347,200,11402,0.104391
348,200,11402,0.106660
349,200,11402,0.093024
350,200,11402,0.090818
351,200,11402,0.086932
352,200,11402,0.092765
353,200,11402,0.066729
354,200,11402,0.049890
355,200,11402,0.100578
356,200,11402,0.081124
357,200,11402,0.071704
358,200,11402,0.109667
359,200,11402,0.065625
360,200,11402,0.057973
361,200,11402,0.092560
362,200,11402,0.060399
363,200,11402,0.086963
364,200,11402,0.078891
365,200,11402,0.077665
366,200,11402,0.061899
367,200,11402,0.097807
368,200,11402,0.060783
369,200,11402,0.100309
370,200,11402,0.093049
371,200,11402,0.071144
372,200,11402,0.046375
373,200,11402,0.060169
374,200,11402,0.048794
375,200,11402,0.044639
376,200,11402,0.127647
377,200,11402,0.071000
378,200,11402,0.115548
379,200,11402,0.069412
380,200,11402,0.051556
381,200,11402,0.096048
382,200,11402,0.097435
383,200,11402,0.072381
384,200,11402,0.131903
385,200,11402,0.094802
386,200,11402,0.064858
387,200,11402,0.067761
388,200,11402,0.056927
389,200,11402,0.040389
390,200,11402,0.122643
391,200,11402,0.077765
392,200,11402,0.060009
393,200,11402,0.048502
394,200,11402,0.066797
395,200,11402,0.063598
396,200,11402,0.109813
397,200,11402,0.088469
398,200,11402,0.072840
399,200,11402,0.072462
400,200,11402,0.075664
401,200,11402,0.080632
402,200,11402,0.055912
403,200,11402,0.060745
404,200,11402,0.069045
405,200,11402,0.071462
406,200,11402,0.094541
407,200,11402,0.023440
408,200,11402,0.061473
409,200,11402,0.081174
410,200,11402,0.060466
411,200,11402,0.080633
412,200,11402,0.081374
413,200,11402,0.076997
414,200,11402,0.091602
415,200,11402,0.038803
416,200,11402,0.057531
417,200,11402,0.049936
418,200,11402,0.073987
419,200,11402,0.066617
420,200,11402,0.069202
421,200,11402,0.079846
422,200,11402,0.098056
423,200,11402,0.095088
424,200,11402,0.050101
425,200,11402,0.107924
426,200,11402,0.072846
427,200,11402,0.042729
428,200,11402,0.074775
429,200,11402,0.106993
430,200,11402,0.086572
431,200,11402,0.091291
432,200,11402,0.038218
433,200,11402,0.092474
434,200,11402,0.049991
435,200,11402,0.070870
436,200,11402,0.054320
437,200,11402,0.064333
438,200,11402,0.076522
439,200,11402,0.052440
440,200,11402,0.063225
441,200,11402,0.098029
442,200,11402,0.066883
443,200,11402,0.059833
444,200,11402,0.121580
445,200,11402,0.083834
446,200,11402,0.114393
447,200,11402,0.104886
448,200,11402,0.034653
449,200,11402,0.046218
450,200,11402,0.103042
451,200,11402,0.107001
452,200,11402,0.062470
453,200,11402,0.079963
454,200,11402,0.080881
455,200,11402,0.036651
456,200,11402,0.080662
457,200,11402,0.067342
458,200,11402,0.089083
459,200,11402,0.098889
460,200,11402,0.073584
461,200,11402,0.081149
462,200,11402,0.068572
463,200,11402,0.083283
464,200,11402,0.045002
465,200,11402,0.086358
466,200,11402,0.119062
467,200,11402,0.064650
468,200,11402,0.050718
469,200,11402,0.054813
470,200,11402,0.041528
471,200,11402,0.051304
472,200,11402,0.087008
473,200,11402,0.038373
474,200,11402,0.078016
475,200,11402,0.124830
476,200,11402,0.093016
477,200,11402,0.064116
478,200,11402,0.035303
479,200,11402,0.074898
480,200,11402,0.071189
481,200,11402,0.054778
482,200,11402,0.065914
483,200,11402,0.077264
484,200,11402,0.110331
485,200,11402,0.110712
486,200,11402,0.091789
487,200,11402,0.064055
488,200,11402,0.102771
489,200,11402,0.059879
490,200,11402,0.063104
491,200,11402,0.080724
492,200,11402,0.064606
493,200,11402,0.114336
494,200,11402,0.082569
495,200,11402,0.112745
496,200,11402,0.109667
497,200,11402,0.072281
498,200,11402,0.081513
499,200,11402,0.086264
500,200,11402,0.102496
501,200,11402,0.058972
502,200,11402,0.059553
503,200,11402,0.054924
504,200,11402,0.098961
505,200,11402,0.103746
506,200,11402,0.078144
507,200,11402,0.093133
508,200,11402,0.072895
509,200,11402,0.064473
510,200,11402,0.107246
511,200,11402,0.113066
512,200,11402,0.054070
513,200,11402,0.072700
514,200,11402,0.084745
515,200,11402,0.086215
516,200,11402,0.056820
517,200,11402,0.074092
518,200,11402,0.052372
519,200,11402,0.075182
520,200,11402,0.066481
521,200,11402,0.067757
522,200,11402,0.061620
523,200,11402,0.114970
524,200,11402,0.104028
525,200,11402,0.100826
526,200,11402,0.074251
527,200,11402,0.069818
528,200,11402,0.045657
529,200,11402,0.087515
530,200,11402,0.088495
531,200,11402,0.087170
