uid,status,bytes,seconds
0,200,22480,0.108127
1,200,22480,0.259445
2,200,22480,0.127310
3,200,22480,0.082912
4,200,22480,0.192509
5,200,22480,0.199438
6,200,22480,0.141539
7,200,22480,0.194297
8,200,22480,0.130883
9,200,22480,0.167540
10,200,22480,0.087125
11,200,22480,0.122979
12,200,22480,0.153129
13,200,22480,0.159323
14,200,22480,0.198973
15,200,22480,0.167851
16,200,22480,0.212189
17,200,22480,0.240315
18,200,22480,0.076389
19,200,22480,0.050489
20,200,22480,0.081329
21,200,22480,0.053936
22,200,22480,0.086704
23,200,22480,0.237424
24,200,22480,0.241914
25,200,22480,0.167069
26,200,22480,0.134277
27,200,22480,0.190344
28,200,22480,0.113056
29,200,22480,0.235131
30,200,22480,0.091786
31,200,22480,0.118379
32,200,22480,0.111719
33,200,22480,0.091897
34,200,22480,0.038048
35,200,22480,0.133731
36,200,22480,0.070860
37,200,22480,0.186689
38,200,22480,0.116259
39,200,22480,0.164857
40,200,22480,0.174078
41,200,22480,0.162909
42,200,22480,0.056195
43,200,22480,0.024704
44,200,22480,0.054757
45,200,22480,0.135471
46,200,22480,0.128708
47,200,22480,0.204977
48,200,22480,0.083810
49,200,22480,0.071618
50,200,22480,0.179590
51,200,22480,0.053065
52,200,22480,0.201678
53,200,22480,0.111754
54,200,22480,0.167430
55,200,22480,0.166261
56,200,22480,0.170592
57,200,22480,0.106830
58,200,22480,0.068546
59,200,22480,0.066964
60,200,22480,0.077474
61,200,22480,0.159905
62,200,22480,0.127809
63,200,22480,0.155571
64,200,22480,0.085077
65,200,22480,0.149568
66,200,22480,0.132589
67,200,22480,0.072953
68,200,22480,0.111126
69,200,22480,0.136270
70,200,22480,0.085992
71,200,22480,0.118735
72,200,22480,0.130656
73,200,22480,0.131933
74,200,22480,0.127224
75,200,22480,0.100831
76,200,22480,0.113163
77,200,22480,0.102919
78,200,22480,0.109513
79,200,22480,0.127836
80,200,22480,0.105289
81,200,22480,0.130818
82,200,22480,0.102026
83,200,22480,0.107005
84,200,22480,0.101150
85,200,22480,0.113882
86,200,22480,0.081512
87,200,22480,0.084505
88,200,22480,0.092434
89,200,22480,0.080048
90,200,22480,0.108432
91,200,22480,0.096436
92,200,22480,0.095166
93,200,22480,0.074669
94,200,22480,0.093535
95,200,22480,0.083303
96,200,22480,0.091527
97,200,22480,0.092165
98,200,22480,0.097291
99,200,22480,0.083335
