uid,status,bytes,seconds
0,200,49376,0.047523
1,200,49376,0.045212
2,200,49376,0.038909
3,200,49376,0.043787
4,200,49376,0.095181
5,200,49376,0.072368
6,200,49376,0.071900
7,200,49376,0.068267
8,200,49376,0.102877
9,200,49376,0.059370
10,200,49376,0.063545
11,200,49376,0.051487
12,200,49376,0.070689
13,200,49376,0.020751
14,200,49376,0.029595
15,200,49376,0.059349
16,200,49376,0.034368
17,200,49376,0.031800
18,200,49376,0.077941
19,200,49376,0.053313
20,200,49376,0.077164
21,200,49376,0.050106
22,200,49376,0.097661
23,200,49376,0.063958
24,200,49376,0.047140
25,200,49376,0.063642
26,200,49376,0.042074
27,200,49376,0.061577
28,200,49376,0.061555
29,200,49376,0.099778
30,200,49376,0.062464
31,200,49376,0.059948
32,200,49376,0.042746
33,200,49376,0.077903
34,200,49376,0.053410
35,200,49376,0.068418
36,200,49376,0.086118
37,200,49376,0.072253
38,200,49376,0.104568
39,200,49376,0.090710
40,200,49376,0.090601
41,200,49376,0.121161
42,200,49376,0.083550
43,200,49376,0.072418
44,200,49376,0.093448
45,200,49376,0.087906
46,200,49376,0.045137
47,200,49376,0.088985
48,200,49376,0.089441
49,200,49376,0.065110
50,200,49376,0.058532
51,200,49376,0.075484
52,200,49376,0.110115
53,200,49376,0.067964
54,200,49376,0.081268
55,200,49376,0.097456
56,200,49376,0.060530
57,200,49376,0.068522
58,200,49376,0.078058
59,200,49376,0.121620
60,200,49376,0.092143
61,200,49376,0.079525
62,200,49376,0.096313
63,200,49376,0.076007
64,200,49376,0.097902
65,200,49376,0.072628
66,200,49376,0.078119
67,200,49376,0.053933
68,200,49376,0.064776
69,200,49376,0.089441
70,200,49376,0.097560
71,200,49376,0.125660
72,200,49376,0.097390
73,200,49376,0.075710
74,200,49376,0.096139
75,200,49376,0.079187
76,200,49376,0.058252
77,200,49376,0.103595
78,200,49376,0.072141
79,200,49376,0.085088
80,200,49376,0.089208
81,200,49376,0.062385
82,200,49376,0.068594
83,200,49376,0.078788
84,200,49376,0.070488
85,200,49376,0.086072
86,200,49376,0.119871
87,200,49376,0.110343
88,200,49376,0.085484
89,200,49376,0.087004
90,200,49376,0.109934
91,200,49376,0.066213
92,200,49376,0.093358
93,200,49376,0.055313
94,200,49376,0.106824
95,200,49376,0.072130
96,200,49376,0.079332
97,200,49376,0.120485
98,200,49376,0.104108
99,200,49376,0.055450
100,200,49376,0.105707
101,200,49376,0.113681
102,200,49376,0.128180
103,200,49376,0.060927
104,200,49376,0.059688
105,200,49376,0.091875
106,200,49376,0.061765
107,200,49376,0.115842
108,200,49376,0.085013
109,200,49376,0.112468
110,200,49376,0.082203
111,200,49376,0.046938
112,200,49376,0.102198
113,200,49376,0.087610
114,200,49376,0.091955
115,200,49376,0.089136
116,200,49376,0.066727
117,200,49376,0.057012
118,200,49376,0.070945
119,200,49376,0.099087
120,200,49376,0.047074
121,200,49376,0.054923
122,200,49376,0.062427
123,200,49376,0.085639
124,200,49376,0.087682
125,200,49376,0.092660
126,200,49376,0.056078
127,200,49376,0.066913
128,200,49376,0.064475
129,200,49376,0.074378
130,200,49376,0.052358
131,200,49376,0.079081
132,200,49376,0.057303
133,200,49376,0.071683
134,200,49376,0.069514
135,200,49376,0.074247
136,200,49376,0.099789
137,200,49376,0.063130
138,200,49376,0.104117
139,200,49376,0.074146
140,200,49376,0.082934
141,200,49376,0.083531
142,200,49376,0.075954
143,200,49376,0.078904
144,200,49376,0.105596
145,200,49376,0.105882
146,200,49376,0.037812
147,200,49376,0.068018
148,200,49376,0.067263
149,200,49376,0.058285
150,200,49376,0.055186
151,200,49376,0.087543
152,200,49376,0.116090
153,200,49376,0.077012
154,200,49376,0.091419
155,200,49376,0.102230
156,200,49376,0.081905
157,200,49376,0.078305
158,200,49376,0.052996
159,200,49376,0.062506
160,200,49376,0.113694
161,200,49376,0.106026
162,200,49376,0.073010
163,200,49376,0.067103
164,200,49376,0.108855
165,200,49376,0.116543
166,200,49376,0.062774
167,200,49376,0.072282
168,200,49376,0.075729
169,200,49376,0.064145
170,200,49376,0.071971
171,200,49376,0.073733
172,200,49376,0.100728
173,200,49376,0.064795
174,200,49376,0.068336
175,200,49376,0.090615
176,200,49376,0.064127
177,200,49376,0.072100
178,200,49376,0.103354
179,200,49376,0.074696
180,200,49376,0.044549
181,200,49376,0.107263
182,200,49376,0.106505
183,200,49376,0.087239
184,200,49376,0.097763
185,200,49376,0.056354
186,200,49376,0.053371
187,200,49376,0.055882
188,200,49376,0.066548
189,200,49376,0.088981
190,200,49376,0.091640
191,200,49376,0.080049
192,200,49376,0.102153
193,200,49376,0.077115
194,200,49376,0.058913
195,200,49376,0.133200
196,200,49376,0.070589
197,200,49376,0.074888
198,200,49376,0.061746
199,200,49376,0.098809
200,200,49376,0.074870
201,200,49376,0.111931
202,200,49376,0.078342
203,200,49376,0.060294
204,200,49376,0.066322
205,200,49376,0.081382
206,200,49376,0.139592
207,200,49376,0.095124
208,200,49376,0.087259
209,200,49376,0.114658
210,200,49376,0.086944
211,200,49376,0.066491
212,200,49376,0.061489
213,200,49376,0.062054
214,200,49376,0.051811
215,200,49376,0.071925
216,200,49376,0.086908
217,200,49376,0.093352
218,200,49376,0.105240
219,200,49376,0.066454
220,200,49376,0.056601
221,200,49376,0.075689
222,200,49376,0.067379
223,200,49376,0.094952
224,200,49376,0.072568
225,200,49376,0.108031
226,200,49376,0.050144
227,200,49376,0.117747
228,200,49376,0.083017
229,200,49376,0.099306
230,200,49376,0.099362
231,200,49376,0.048365
232,200,49376,0.107529
233,200,49376,0.057077
234,200,49376,0.060114
235,200,49376,0.089170
236,200,49376,0.075224
237,200,49376,0.067436
238,200,49376,0.085084
239,200,49376,0.098433
240,200,49376,0.074452
241,200,49376,0.043720
242,200,49376,0.069289
243,200,49376,0.095469
244,200,49376,0.082776
245,200,49376,0.079528
246,200,49376,0.074714
247,200,49376,0.064098
248,200,49376,0.124914
249,200,49376,0.079182
250,200,49376,0.090394
251,200,49376,0.096662
252,200,49376,0.075446
253,200,49376,0.067402
254,200,49376,0.040890
255,200,49376,0.071992
256,200,49376,0.058769
257,200,49376,0.140017
258,200,49376,0.080958
259,200,49376,0.057185
260,200,49376,0.079594
261,200,49376,0.072740
262,200,49376,0.058940
263,200,49376,0.076530
264,200,49376,0.117374
265,200,49376,0.036149
266,200,49376,0.028454
267,200,49376,0.082971
268,200,49376,0.075008
269,200,49376,0.050854
270,200,49376,0.046763
271,200,49376,0.051750
272,200,49376,0.077046
273,200,49376,0.033238
274,200,49376,0.072399
275,200,49376,0.055798
276,200,49376,0.097538
277,200,49376,0.067197
278,200,49376,0.063652
279,200,49376,0.063021
280,200,49376,0.056222
281,200,49376,0.036964
282,200,49376,0.074469
283,200,49376,0.087131
284,200,49376,0.075494
285,200,49376,0.089080
286,200,49376,0.051467
287,200,49376,0.069472
288,200,49376,0.071122
289,200,49376,0.067744
290,200,49376,0.114066
291,200,49376,0.051203
292,200,49376,0.071345
293,200,49376,0.085150
294,200,49376,0.085914
295,200,49376,0.070909
296,200,49376,0.099175
297,200,49376,0.063394
298,200,49376,0.060938
299,200,49376,0.092639
