uid,status,bytes,seconds
0,200,11269,0.074998
1,200,11269,0.092841
2,200,11269,0.048608
3,200,11269,0.045025
4,200,11269,0.082317
5,200,11269,0.063034
6,200,11269,0.139288
7,200,11269,0.123528
8,200,11269,0.044628
9,200,11269,0.050757
10,200,11269,0.096426
11,200,11269,0.090383
12,200,11269,0.084558
13,200,11269,0.041958
14,200,11269,0.077597
15,200,11269,0.067410
16,200,11269,0.077953
17,200,11269,0.083459
18,200,11269,0.025491
19,200,11269,0.070849
20,200,11269,0.130936
21,200,11269,0.082579
22,200,11269,0.036799
23,200,11269,0.063854
24,200,11269,0.071376
25,200,11269,0.116297
26,200,11269,0.080516
27,200,11269,0.095082
28,200,11269,0.096778
29,200,11269,0.058019
30,200,11269,0.022337
31,200,11269,0.015749
32,200,11269,0.009705
33,200,11269,0.022854
34,200,11269,0.083375
35,200,11269,0.051767
36,200,11269,0.056366
37,200,11269,0.030601
38,200,11269,0.048020
39,200,11269,0.079407
40,200,11269,0.042045
41,200,11269,0.050078
42,200,11269,0.026507
43,200,11269,0.048052
44,200,11269,0.076375
45,200,11269,0.068654
46,200,11269,0.096893
47,200,11269,0.059934
48,200,11269,0.082591
49,200,11269,0.100780
50,200,11269,0.047700
51,200,11269,0.051218
52,200,11269,0.031935
53,200,11269,0.092305
54,200,11269,0.055203
55,200,11269,0.066322
56,200,11269,0.068748
57,200,11269,0.044639
58,200,11269,0.085531
59,200,11269,0.072810
60,200,11269,0.065290
61,200,11269,0.070858
62,200,11269,0.058314
63,200,11269,0.072284
64,200,11269,0.087135
65,200,11269,0.067634
66,200,11269,0.049139
67,200,11269,0.061638
68,200,11269,0.058183
69,200,11269,0.076862
70,200,11269,0.048826
71,200,11269,0.044889
72,200,11269,0.068794
73,200,11269,0.079242
74,200,11269,0.088635
75,200,11269,0.074804
76,200,11269,0.079689
77,200,11269,0.065580
78,200,11269,0.068216
79,200,11269,0.060950
80,200,11269,0.061229
81,200,11269,0.083461
82,200,11269,0.057776
83,200,11269,0.082436
84,200,11269,0.049696
85,200,11269,0.052022
86,200,11269,0.060068
87,200,11269,0.056082
88,200,11269,0.058246
89,200,11269,0.054737
90,200,11269,0.053398
91,200,11269,0.060544
92,200,11269,0.060466
93,200,11269,0.052250
94,200,11269,0.059782
95,200,11269,0.059786
96,200,11269,0.044431
97,200,11269,0.038365
98,200,11269,0.043859
99,200,11269,0.050966
