uid,status,bytes,seconds
0,200,66069,0.031614
1,200,66069,0.071276
2,200,66069,0.040599
3,200,66069,0.072732
4,200,66069,0.028671
5,200,66069,0.035816
6,200,66069,0.086989
7,200,66069,0.042716
8,200,66069,0.029186
9,200,66069,0.024039
10,200,66069,0.075398
11,200,66069,0.063015
12,200,66069,0.045850
13,200,66069,0.059524
14,200,66069,0.012053
15,200,66069,0.008928
16,200,66069,0.006147
17,200,66069,0.020288
18,200,66069,0.013340
19,200,66069,0.014345
20,200,66069,0.025567
21,200,66069,0.021513
22,200,66069,0.033128
23,200,66069,0.026445
24,200,66069,0.056734
25,200,66069,0.039108
26,200,66069,0.057131
27,200,66069,0.054133
28,200,66069,0.042314
29,200,66069,0.065130
30,200,66069,0.068042
31,200,66069,0.052732
32,200,66069,0.044915
33,200,66069,0.055893
34,200,66069,0.052161
35,200,66069,0.067997
36,200,66069,0.054172
37,200,66069,0.056908
38,200,66069,0.044958
39,200,66069,0.068894
40,200,66069,0.072482
41,200,66069,0.037537
42,200,66069,0.064524
43,200,66069,0.070392
44,200,66069,0.065996
45,200,66069,0.064888
46,200,66069,0.068515
47,200,66069,0.049220
48,200,66069,0.063680
49,200,66069,0.072055
50,200,66069,0.062585
51,200,66069,0.034460
52,200,66069,0.060088
53,200,66069,0.043935
54,200,66069,0.071641
55,200,66069,0.053053
56,200,66069,0.051511
57,200,66069,0.059196
58,200,66069,0.052575
59,200,66069,0.073838
60,200,66069,0.051657
61,200,66069,0.062724
62,200,66069,0.051742
63,200,66069,0.065363
64,200,66069,0.065720
65,200,66069,0.052176
66,200,66069,0.071538
67,200,66069,0.049245
68,200,66069,0.041737
69,200,66069,0.051669
70,200,66069,0.065695
71,200,66069,0.056645
72,200,66069,0.049342
73,200,66069,0.051376
74,200,66069,0.056265
75,200,66069,0.054871
76,200,66069,0.040713
77,200,66069,0.047037
78,200,66069,0.043471
79,200,66069,0.051050
80,200,66069,0.045062
81,200,66069,0.050525
82,200,66069,0.040572
83,200,66069,0.049250
84,200,66069,0.041015
85,200,66069,0.041593
86,200,66069,0.041540
87,200,66069,0.040068
88,200,66069,0.040155
89,200,66069,0.028865
90,200,66069,0.036662
91,200,66069,0.035023
92,200,66069,0.030233
93,200,66069,0.029887
94,200,66069,0.029523
95,200,66069,0.028709
96,200,66069,0.024581
97,200,66069,0.026184
98,200,66069,0.026534
99,200,66069,0.026451
