uid,status,bytes,seconds
0,200,49376,0.036745
1,200,49376,0.072085
2,200,49376,0.074586
3,200,49376,0.083010
4,200,49376,0.012230
5,200,49376,0.017425
6,200,49376,0.012225
7,200,49376,0.012194
8,200,49376,0.010799
9,200,49376,0.014369
10,200,49376,0.017683
11,200,49376,0.019755
12,200,49376,0.017981
13,200,49376,0.030498
14,200,49376,0.030905
15,200,49376,0.030652
16,200,49376,0.026961
17,200,49376,0.047430
18,200,49376,0.054217
19,200,49376,0.029820
20,200,49376,0.057161
21,200,49376,0.023464
22,200,49376,0.042690
23,200,49376,0.083749
24,200,49376,0.044597
25,200,49376,0.048769
26,200,49376,0.047444
27,200,49376,0.054122
28,200,49376,0.104532
29,200,49376,0.072861
30,200,49376,0.073142
31,200,49376,0.119840
32,200,49376,0.058491
33,200,49376,0.058858
34,200,49376,0.105146
35,200,49376,0.052434
36,200,49376,0.046237
37,200,49376,0.138300
38,200,49376,0.041489
39,200,49376,0.070330
40,200,49376,0.092612
41,200,49376,0.091041
42,200,49376,0.152319
43,200,49376,0.116890
44,200,49376,0.151707
45,200,49376,0.078421
46,200,49376,0.089478
47,200,49376,0.115627
48,200,49376,0.074877
49,200,49376,0.084011
50,200,49376,0.117908
51,200,49376,0.065263
52,200,49376,0.058663
53,200,49376,0.081246
54,200,49376,0.135241
55,200,49376,0.039600
56,200,49376,0.074207
57,200,49376,0.043836
58,200,49376,0.064995
59,200,49376,0.076949
60,200,49376,0.087709
61,200,49376,0.078145
62,200,49376,0.058694
63,200,49376,0.058754
64,200,49376,0.086411
65,200,49376,0.099412
66,200,49376,0.100479
67,200,49376,0.100285
68,200,49376,0.079846
69,200,49376,0.102967
70,200,49376,0.112614
71,200,49376,0.058602
72,200,49376,0.093437
73,200,49376,0.131382
74,200,49376,0.065316
75,200,49376,0.072143
76,200,49376,0.058551
77,200,49376,0.108063
78,200,49376,0.059427
79,200,49376,0.081396
80,200,49376,0.086980
81,200,49376,0.082253
82,200,49376,0.071359
83,200,49376,0.075467
84,200,49376,0.097819
85,200,49376,0.115817
86,200,49376,0.089317
87,200,49376,0.057751
88,200,49376,0.118164
89,200,49376,0.096288
90,200,49376,0.108381
91,200,49376,0.142269
92,200,49376,0.163824
93,200,49376,0.120006
94,200,49376,0.113631
95,200,49376,0.115460
96,200,49376,0.084208
97,200,49376,0.134582
98,200,49376,0.111043
99,200,49376,0.147285
100,200,49376,0.127440
101,200,49376,0.072671
102,200,49376,0.098287
103,200,49376,0.073958
104,200,49376,0.079550
105,200,49376,0.100190
106,200,49376,0.119637
107,200,49376,0.089071
108,200,49376,0.057569
109,200,49376,0.090321
110,200,49376,0.115276
111,200,49376,0.083808
112,200,49376,0.098829
113,200,49376,0.109111
114,200,49376,0.090528
115,200,49376,0.116526
