timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212390.298354011|book_reviews_nginx_scale|0.00%|11.65MiB|7.406GiB|18
1790212390.298354011|book_reviews_app3_scale|0.11%|141.6MiB|7.406GiB|55
1790212390.298354011|book_reviews_app1_scale|0.33%|160.8MiB|7.406GiB|55
1790212390.298354011|book_reviews_app2_scale|0.12%|147.9MiB|7.406GiB|55
1790212390.298354011|book_reviews_cache|0.66%|14.04MiB|7.406GiB|12
1790212390.298354011|book_reviews_search|0.70%|647.6MiB|7.406GiB|130
1790212390.298354011|book_reviews_mongodb|0.36%|227.4MiB|7.406GiB|71
1790212390.298354011|k3d-sa-a4-serverlb|0.00%|5.605MiB|7.406GiB|27
1790212390.298354011|k3d-sa-a4-agent-0|4.96%|1.492GiB|7.406GiB|329
1790212390.298354011|k3d-sa-a4-server-0|11.59%|1.497GiB|7.406GiB|433
1790212390.298354011|k3d-a4-registry|0.00%|19.72MiB|7.406GiB|19
1790212390.298354011|proyecto-del-curso-grupo_10_los_inhackeables-db-1|4.29%|35.81MiB|7.406GiB|6
1790212395.155099058|book_reviews_nginx_scale|0.00%|12.79MiB|7.406GiB|18
1790212395.155099058|book_reviews_app3_scale|0.14%|141.5MiB|7.406GiB|55
1790212395.155099058|book_reviews_app1_scale|0.08%|160.1MiB|7.406GiB|55
1790212395.155099058|book_reviews_app2_scale|0.18%|148.1MiB|7.406GiB|55
1790212395.155099058|book_reviews_cache|0.28%|7.855MiB|7.406GiB|6
1790212395.155099058|book_reviews_search|0.56%|630.8MiB|7.406GiB|130
1790212395.155099058|book_reviews_mongodb|0.36%|223.6MiB|7.406GiB|71
1790212395.155099058|k3d-sa-a4-serverlb|0.00%|5.129MiB|7.406GiB|27
1790212395.155099058|k3d-sa-a4-agent-0|5.65%|1.562GiB|7.406GiB|329
1790212395.155099058|k3d-sa-a4-server-0|10.99%|1.404GiB|7.406GiB|433
1790212395.155099058|k3d-a4-registry|0.00%|16.34MiB|7.406GiB|19
1790212395.155099058|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.05%|20.14MiB|7.406GiB|6
1790212399.819516305|book_reviews_nginx_scale|0.00%|11.75MiB|7.406GiB|18
1790212399.819516305|book_reviews_app3_scale|0.47%|138.8MiB|7.406GiB|55
1790212399.819516305|book_reviews_app1_scale|0.28%|160MiB|7.406GiB|55
1790212399.819516305|book_reviews_app2_scale|0.44%|148.2MiB|7.406GiB|55
1790212399.819516305|book_reviews_cache|0.31%|11.18MiB|7.406GiB|6
1790212399.819516305|book_reviews_search|0.57%|622.5MiB|7.406GiB|130
1790212399.819516305|book_reviews_mongodb|0.92%|168.7MiB|7.406GiB|71
1790212399.819516305|k3d-sa-a4-serverlb|0.00%|4.816MiB|7.406GiB|27
1790212399.819516305|k3d-sa-a4-agent-0|2.67%|1.422GiB|7.406GiB|329
1790212399.819516305|k3d-sa-a4-server-0|9.76%|1.327GiB|7.406GiB|433
1790212399.819516305|k3d-a4-registry|0.17%|13.34MiB|7.406GiB|19
1790212399.819516305|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|23.14MiB|7.406GiB|6
1790212404.480783149|book_reviews_nginx_scale|0.00%|12.23MiB|7.406GiB|18
1790212404.480783149|book_reviews_app3_scale|0.13%|139.5MiB|7.406GiB|55
1790212404.480783149|book_reviews_app1_scale|0.10%|159.9MiB|7.406GiB|55
1790212404.480783149|book_reviews_app2_scale|1.44%|148.5MiB|7.406GiB|55
1790212404.480783149|book_reviews_cache|0.30%|11.36MiB|7.406GiB|6
1790212404.480783149|book_reviews_search|3.60%|633.4MiB|7.406GiB|130
1790212404.480783149|book_reviews_mongodb|18.39%|163.2MiB|7.406GiB|71
1790212404.480783149|k3d-sa-a4-serverlb|0.00%|5.324MiB|7.406GiB|27
1790212404.480783149|k3d-sa-a4-agent-0|3.84%|1.43GiB|7.406GiB|329
1790212404.480783149|k3d-sa-a4-server-0|9.23%|1.378GiB|7.406GiB|433
1790212404.480783149|k3d-a4-registry|1.12%|20.58MiB|7.406GiB|19
1790212404.480783149|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.01%|28.57MiB|7.406GiB|6
1790212409.107529941|book_reviews_nginx_scale|0.00%|11.67MiB|7.406GiB|18
1790212409.107529941|book_reviews_app3_scale|1.20%|138.8MiB|7.406GiB|55
1790212409.107529941|book_reviews_app1_scale|0.91%|159.4MiB|7.406GiB|55
1790212409.107529941|book_reviews_app2_scale|1.00%|148.5MiB|7.406GiB|55
1790212409.107529941|book_reviews_cache|0.31%|13.81MiB|7.406GiB|6
1790212409.107529941|book_reviews_search|0.71%|626.8MiB|7.406GiB|130
1790212409.107529941|book_reviews_mongodb|51.67%|325.2MiB|7.406GiB|84
1790212409.107529941|k3d-sa-a4-serverlb|0.00%|5.199MiB|7.406GiB|27
1790212409.107529941|k3d-sa-a4-agent-0|4.27%|1.423GiB|7.406GiB|329
1790212409.107529941|k3d-sa-a4-server-0|9.36%|1.402GiB|7.406GiB|433
1790212409.107529941|k3d-a4-registry|0.21%|18.43MiB|7.406GiB|19
1790212409.107529941|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|37.13MiB|7.406GiB|6
1790212413.656766372|book_reviews_nginx_scale|0.00%|12.53MiB|7.406GiB|18
1790212413.656766372|book_reviews_app3_scale|0.16%|139.3MiB|7.406GiB|55
1790212413.656766372|book_reviews_app1_scale|1.36%|159.4MiB|7.406GiB|55
