timestamp|container|threads
1790212390.298354011|book_reviews_nginx_scale|19
1790212390.298354011|book_reviews_app3_scale|56
1790212390.298354011|book_reviews_app1_scale|56
1790212390.298354011|book_reviews_app2_scale|56
1790212390.298354011|book_reviews_cache|7
1790212390.298354011|book_reviews_search|131
1790212390.298354011|book_reviews_mongodb|72
1790212390.298354011|k3d-sa-a4-serverlb|28
1790212390.298354011|k3d-sa-a4-agent-0|330
1790212390.298354011|k3d-sa-a4-server-0|434
1790212390.298354011|k3d-a4-registry|20
1790212390.298354011|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212395.155099058|book_reviews_nginx_scale|19
1790212395.155099058|book_reviews_app3_scale|56
1790212395.155099058|book_reviews_app1_scale|56
1790212395.155099058|book_reviews_app2_scale|56
1790212395.155099058|book_reviews_cache|7
1790212395.155099058|book_reviews_search|131
1790212395.155099058|book_reviews_mongodb|72
1790212395.155099058|k3d-sa-a4-serverlb|28
1790212395.155099058|k3d-sa-a4-agent-0|330
1790212395.155099058|k3d-sa-a4-server-0|434
1790212395.155099058|k3d-a4-registry|20
1790212395.155099058|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212399.819516305|book_reviews_nginx_scale|19
1790212399.819516305|book_reviews_app3_scale|56
1790212399.819516305|book_reviews_app1_scale|56
1790212399.819516305|book_reviews_app2_scale|56
1790212399.819516305|book_reviews_cache|7
1790212399.819516305|book_reviews_search|131
1790212399.819516305|book_reviews_mongodb|72
1790212399.819516305|k3d-sa-a4-serverlb|28
1790212399.819516305|k3d-sa-a4-agent-0|330
1790212399.819516305|k3d-sa-a4-server-0|434
1790212399.819516305|k3d-a4-registry|20
1790212399.819516305|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212404.480783149|book_reviews_nginx_scale|19
1790212404.480783149|book_reviews_app3_scale|56
1790212404.480783149|book_reviews_app1_scale|56
1790212404.480783149|book_reviews_app2_scale|56
1790212404.480783149|book_reviews_cache|7
1790212404.480783149|book_reviews_search|131
1790212404.480783149|book_reviews_mongodb|72
1790212404.480783149|k3d-sa-a4-serverlb|28
1790212404.480783149|k3d-sa-a4-agent-0|330
1790212404.480783149|k3d-sa-a4-server-0|434
1790212404.480783149|k3d-a4-registry|20
1790212404.480783149|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212409.107529941|book_reviews_nginx_scale|19
1790212409.107529941|book_reviews_app3_scale|56
1790212409.107529941|book_reviews_app1_scale|56
1790212409.107529941|book_reviews_app2_scale|56
1790212409.107529941|book_reviews_cache|7
1790212409.107529941|book_reviews_search|131
1790212409.107529941|book_reviews_mongodb|72
1790212409.107529941|k3d-sa-a4-serverlb|28
1790212409.107529941|k3d-sa-a4-agent-0|330
1790212409.107529941|k3d-sa-a4-server-0|434
1790212409.107529941|k3d-a4-registry|20
1790212409.107529941|proyecto-del-curso-grupo_10_los_inhackeables-db-1|9
1790212413.656766372|book_reviews_nginx_scale|19
1790212413.656766372|book_reviews_app3_scale|56
1790212413.656766372|book_reviews_app1_scale|56
1790212413.656766372|book_reviews_app2_scale|56
1790212413.656766372|book_reviews_cache|7
1790212413.656766372|book_reviews_search|131
1790212413.656766372|book_reviews_mongodb|73
1790212413.656766372|k3d-sa-a4-serverlb|28
1790212413.656766372|k3d-sa-a4-agent-0|330
1790212413.656766372|k3d-sa-a4-server-0|434
1790212413.656766372|k3d-a4-registry|20
1790212413.656766372|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212418.336025261|book_reviews_nginx_scale|19
1790212418.336025261|book_reviews_app3_scale|56
1790212418.336025261|book_reviews_app1_scale|56
1790212418.336025261|book_reviews_app2_scale|56
1790212418.336025261|book_reviews_cache|7
1790212418.336025261|book_reviews_search|131
1790212418.336025261|book_reviews_mongodb|72
1790212418.336025261|k3d-sa-a4-serverlb|28
1790212418.336025261|k3d-sa-a4-agent-0|330
1790212418.336025261|k3d-sa-a4-server-0|434
1790212418.336025261|k3d-a4-registry|20
1790212418.336025261|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
