uid,status,bytes,seconds
0,200,11269,0.041162
1,200,11269,0.120121
2,200,11269,0.040174
3,200,11269,0.068934
4,200,11269,0.044960
5,200,11269,0.123291
6,200,11269,0.043157
7,200,11269,0.025470
8,200,11269,0.039361
9,200,11269,0.042008
10,200,11269,0.066838
11,200,11269,0.046904
12,200,11269,0.045467
13,200,11269,0.083334
14,200,11269,0.101672
15,200,11269,0.012348
16,200,11269,0.012868
17,200,11269,0.020771
18,200,11269,0.015630
19,200,11269,0.019516
20,200,11269,0.019676
21,200,11269,0.029094
22,200,11269,0.040486
23,200,11269,0.077732
24,200,11269,0.059168
25,200,11269,0.032158
26,200,11269,0.055216
27,200,11269,0.078198
28,200,11269,0.047949
29,200,11269,0.056679
30,200,11269,0.061995
31,200,11269,0.040941
32,200,11269,0.043249
33,200,11269,0.040732
34,200,11269,0.058801
35,200,11269,0.071656
36,200,11269,0.088020
37,200,11269,0.060260
38,200,11269,0.041049
39,200,11269,0.056651
40,200,11269,0.072590
41,200,11269,0.063932
42,200,11269,0.082285
43,200,11269,0.045800
44,200,11269,0.067108
45,200,11269,0.069654
46,200,11269,0.154730
47,200,11269,0.078024
48,200,11269,0.089895
49,200,11269,0.085912
50,200,11269,0.048264
51,200,11269,0.072144
52,200,11269,0.068035
53,200,11269,0.088860
54,200,11269,0.059294
55,200,11269,0.095093
56,200,11269,0.075718
57,200,11269,0.077733
58,200,11269,0.055245
59,200,11269,0.092194
60,200,11269,0.084618
61,200,11269,0.088473
62,200,11269,0.066287
63,200,11269,0.089973
64,200,11269,0.051390
65,200,11269,0.076899
66,200,11269,0.072902
67,200,11269,0.054565
68,200,11269,0.073469
69,200,11269,0.051883
70,200,11269,0.063060
71,200,11269,0.079980
72,200,11269,0.034011
73,200,11269,0.070766
74,200,11269,0.071436
75,200,11269,0.091083
76,200,11269,0.078771
77,200,11269,0.073174
78,200,11269,0.068024
79,200,11269,0.055383
80,200,11269,0.094873
81,200,11269,0.070786
82,200,11269,0.077241
83,200,11269,0.080761
84,200,11269,0.065451
85,200,11269,0.084959
86,200,11269,0.086499
87,200,11269,0.063238
88,200,11269,0.098238
89,200,11269,0.064948
90,200,11269,0.041850
91,200,11269,0.102560
92,200,11269,0.051135
93,200,11269,0.045406
94,200,11269,0.058696
95,200,11269,0.074485
96,200,11269,0.043491
97,200,11269,0.060770
98,200,11269,0.057637
99,200,11269,0.063268
100,200,11269,0.053599
101,200,11269,0.072610
102,200,11269,0.072007
103,200,11269,0.062428
104,200,11269,0.061880
105,200,11269,0.080051
106,200,11269,0.145409
107,200,11269,0.117789
108,200,11269,0.045982
109,200,11269,0.055223
110,200,11269,0.115435
111,200,11269,0.111433
112,200,11269,0.125323
113,200,11269,0.073284
114,200,11269,0.051463
115,200,11269,0.051128
116,200,11269,0.087900
117,200,11269,0.091062
118,200,11269,0.087973
119,200,11269,0.072769
120,200,11269,0.089200
121,200,11269,0.094045
122,200,11269,0.054435
123,200,11269,0.072027
124,200,11269,0.087657
125,200,11269,0.117463
126,200,11269,0.108600
127,200,11269,0.106105
128,200,11269,0.118547
129,200,11269,0.074095
130,200,11269,0.084867
131,200,11269,0.094112
132,200,11269,0.086378
133,200,11269,0.071863
134,200,11269,0.100847
135,200,11269,0.045467
136,200,11269,0.057192
137,200,11269,0.053034
138,200,11269,0.042473
139,200,11269,0.110257
140,200,11269,0.082916
141,200,11269,0.096408
142,200,11269,0.093276
143,200,11269,0.058295
144,200,11269,0.085211
145,200,11269,0.070065
146,200,11269,0.082852
147,200,11269,0.082332
148,200,11269,0.065398
149,200,11269,0.059542
150,200,11269,0.078996
151,200,11269,0.039621
152,200,11269,0.038133
153,200,11269,0.082595
154,200,11269,0.080265
155,200,11269,0.067764
156,200,11269,0.084610
157,200,11269,0.079680
158,200,11269,0.102208
159,200,11269,0.062441
160,200,11269,0.122124
161,200,11269,0.084538
162,200,11269,0.103511
163,200,11269,0.058647
164,200,11269,0.080313
165,200,11269,0.057555
166,200,11269,0.039193
167,200,11269,0.089288
168,200,11269,0.026420
169,200,11269,0.098778
170,200,11269,0.128678
171,200,11269,0.094723
172,200,11269,0.067717
173,200,11269,0.129841
174,200,11269,0.061760
175,200,11269,0.072111
176,200,11269,0.091431
177,200,11269,0.066214
178,200,11269,0.072416
179,200,11269,0.051559
180,200,11269,0.099489
181,200,11269,0.063752
182,200,11269,0.056115
183,200,11269,0.096680
184,200,11269,0.096542
185,200,11269,0.103079
186,200,11269,0.073089
187,200,11269,0.086169
188,200,11269,0.066907
189,200,11269,0.084597
190,200,11269,0.065478
191,200,11269,0.082570
192,200,11269,0.076829
193,200,11269,0.106520
194,200,11269,0.061365
195,200,11269,0.059966
196,200,11269,0.062771
197,200,11269,0.106256
198,200,11269,0.090613
199,200,11269,0.089292
200,200,11269,0.066133
201,200,11269,0.095954
202,200,11269,0.068018
203,200,11269,0.131210
204,200,11269,0.052395
205,200,11269,0.092048
206,200,11269,0.044473
207,200,11269,0.149376
