uid,status,bytes,seconds
0,200,22480,0.064984
1,200,22480,0.052162
2,200,22480,0.032525
3,200,22480,0.038875
4,200,22480,0.032032
5,200,22480,0.037282
6,200,22480,0.031588
7,200,22480,0.032647
8,200,22480,0.030402
9,200,22480,0.023152
10,200,22480,0.024255
11,200,22480,0.037023
12,200,22480,0.041284
13,200,22480,0.039568
14,200,22480,0.036434
15,200,22480,0.033506
16,200,22480,0.031783
17,200,22480,0.040052
18,200,22480,0.033409
19,200,22480,0.034335
20,200,22480,0.024746
21,200,22480,0.033278
22,200,22480,0.034864
23,200,22480,0.044976
24,200,22480,0.044575
25,200,22480,0.048216
26,200,22480,0.052439
27,200,22480,0.050433
28,200,22480,0.089556
29,200,22480,0.081176
30,200,22480,0.051352
31,200,22480,0.069372
32,200,22480,0.127360
33,200,22480,0.090757
34,200,22480,0.037780
35,200,22480,0.078523
36,200,22480,0.058542
37,200,22480,0.041000
38,200,22480,0.107295
39,200,22480,0.108246
40,200,22480,0.046768
41,200,22480,0.085618
42,200,22480,0.094923
43,200,22480,0.055240
44,200,22480,0.094679
45,200,22480,0.087501
46,200,22480,0.082577
47,200,22480,0.087688
48,200,22480,0.085187
49,200,22480,0.097183
50,200,22480,0.076978
51,200,22480,0.073701
52,200,22480,0.116813
53,200,22480,0.111946
54,200,22480,0.102843
55,200,22480,0.072698
56,200,22480,0.129693
57,200,22480,0.089223
58,200,22480,0.096454
59,200,22480,0.082440
60,200,22480,0.089197
61,200,22480,0.052212
62,200,22480,0.073842
63,200,22480,0.098893
64,200,22480,0.106181
65,200,22480,0.086105
66,200,22480,0.086380
67,200,22480,0.068458
68,200,22480,0.120013
69,200,22480,0.086716
70,200,22480,0.080387
71,200,22480,0.071654
72,200,22480,0.094840
73,200,22480,0.089414
74,200,22480,0.077055
75,200,22480,0.082262
76,200,22480,0.076952
77,200,22480,0.096710
78,200,22480,0.079052
79,200,22480,0.088842
80,200,22480,0.093474
81,200,22480,0.071108
82,200,22480,0.086667
83,200,22480,0.082006
84,200,22480,0.085660
85,200,22480,0.085098
86,200,22480,0.070939
87,200,22480,0.070419
88,200,22480,0.077303
89,200,22480,0.068273
90,200,22480,0.062287
91,200,22480,0.059372
92,200,22480,0.051302
93,200,22480,0.055924
94,200,22480,0.054312
95,200,22480,0.057146
96,200,22480,0.055289
97,200,22480,0.048285
98,200,22480,0.053178
99,200,22480,0.050525
