uid,status,bytes,seconds
0,200,66069,0.032356
1,200,66069,0.094356
2,200,66069,0.085166
3,200,66069,0.089666
4,200,66069,0.074314
5,200,66069,0.041882
6,200,66069,0.071152
7,200,66069,0.061042
8,200,66069,0.102627
9,200,66069,0.063236
10,200,66069,0.057538
11,200,66069,0.031620
12,200,66069,0.065183
13,200,66069,0.067546
14,200,66069,0.071644
15,200,66069,0.019135
16,200,66069,0.015190
17,200,66069,0.074323
18,200,66069,0.017238
19,200,66069,0.019557
20,200,66069,0.028068
21,200,66069,0.040149
22,200,66069,0.054711
23,200,66069,0.047658
24,200,66069,0.020356
25,200,66069,0.042044
26,200,66069,0.052512
27,200,66069,0.038793
28,200,66069,0.040523
29,200,66069,0.036216
30,200,66069,0.048953
31,200,66069,0.041396
32,200,66069,0.054664
33,200,66069,0.058998
34,200,66069,0.037981
35,200,66069,0.077982
36,200,66069,0.068096
37,200,66069,0.061409
38,200,66069,0.038419
39,200,66069,0.044446
40,200,66069,0.063809
41,200,66069,0.050603
42,200,66069,0.052824
43,200,66069,0.070456
44,200,66069,0.061514
45,200,66069,0.043477
46,200,66069,0.099387
47,200,66069,0.049867
48,200,66069,0.081715
49,200,66069,0.036400
50,200,66069,0.061885
51,200,66069,0.047109
52,200,66069,0.075241
53,200,66069,0.061893
54,200,66069,0.064945
55,200,66069,0.056716
56,200,66069,0.053095
57,200,66069,0.055690
58,200,66069,0.059543
59,200,66069,0.089972
60,200,66069,0.069591
61,200,66069,0.059767
62,200,66069,0.047650
63,200,66069,0.043554
64,200,66069,0.052751
65,200,66069,0.036227
66,200,66069,0.058077
67,200,66069,0.052699
68,200,66069,0.063261
69,200,66069,0.064744
70,200,66069,0.044195
71,200,66069,0.071935
72,200,66069,0.045336
73,200,66069,0.056832
74,200,66069,0.057621
75,200,66069,0.067459
76,200,66069,0.026982
77,200,66069,0.050756
78,200,66069,0.068506
79,200,66069,0.054980
80,200,66069,0.069884
81,200,66069,0.056569
82,200,66069,0.037558
83,200,66069,0.076002
84,200,66069,0.045965
85,200,66069,0.059711
86,200,66069,0.039756
87,200,66069,0.049105
88,200,66069,0.049003
89,200,66069,0.056649
90,200,66069,0.052839
91,200,66069,0.042008
92,200,66069,0.035817
93,200,66069,0.036068
94,200,66069,0.068107
95,200,66069,0.039485
96,200,66069,0.050037
97,200,66069,0.063309
98,200,66069,0.061716
99,200,66069,0.073025
100,200,66069,0.046544
101,200,66069,0.043525
102,200,66069,0.059329
103,200,66069,0.045505
104,200,66069,0.073073
105,200,66069,0.047691
106,200,66069,0.033103
107,200,66069,0.082834
108,200,66069,0.032630
109,200,66069,0.061072
110,200,66069,0.035726
111,200,66069,0.077720
112,200,66069,0.039575
113,200,66069,0.048224
114,200,66069,0.074677
115,200,66069,0.030544
116,200,66069,0.065078
117,200,66069,0.067281
118,200,66069,0.053632
119,200,66069,0.056107
120,200,66069,0.051723
121,200,66069,0.090487
122,200,66069,0.064580
123,200,66069,0.062546
124,200,66069,0.049793
125,200,66069,0.058589
126,200,66069,0.039619
127,200,66069,0.057790
128,200,66069,0.048308
129,200,66069,0.069730
130,200,66069,0.070077
131,200,66069,0.044860
132,200,66069,0.047450
133,200,66069,0.059584
134,200,66069,0.061511
135,200,66069,0.049876
136,200,66069,0.070745
137,200,66069,0.076336
138,200,66069,0.067929
139,200,66069,0.052931
140,200,66069,0.050659
141,200,66069,0.062783
142,200,66069,0.054770
143,200,66069,0.066221
144,200,66069,0.041889
145,200,66069,0.081600
146,200,66069,0.047335
147,200,66069,0.035230
148,200,66069,0.073809
149,200,66069,0.053373
150,200,66069,0.046472
151,200,66069,0.059533
152,200,66069,0.060036
153,200,66069,0.040708
154,200,66069,0.075073
155,200,66069,0.043204
156,200,66069,0.061011
157,200,66069,0.072149
158,200,66069,0.066202
159,200,66069,0.047776
160,200,66069,0.078054
161,200,66069,0.063576
162,200,66069,0.053381
163,200,66069,0.051585
164,200,66069,0.050572
165,200,66069,0.057455
166,200,66069,0.068062
167,200,66069,0.072289
168,200,66069,0.038008
169,200,66069,0.072347
170,200,66069,0.061037
171,200,66069,0.035903
172,200,66069,0.064078
173,200,66069,0.046826
174,200,66069,0.053420
175,200,66069,0.071986
176,200,66069,0.060263
177,200,66069,0.074509
178,200,66069,0.061720
179,200,66069,0.053767
180,200,66069,0.045107
181,200,66069,0.039356
182,200,66069,0.074390
183,200,66069,0.061391
184,200,66069,0.073890
185,200,66069,0.075014
186,200,66069,0.070005
187,200,66069,0.055831
188,200,66069,0.045552
189,200,66069,0.060919
190,200,66069,0.073234
191,200,66069,0.055402
192,200,66069,0.066554
193,200,66069,0.063617
194,200,66069,0.036953
195,200,66069,0.062249
196,200,66069,0.058075
197,200,66069,0.060336
198,200,66069,0.062846
199,200,66069,0.047518
200,200,66069,0.049920
