uid,status,bytes,seconds
0,200,49376,0.049523
1,200,49376,0.121780
2,200,49376,0.141791
3,200,49376,0.124889
4,200,49376,0.086808
5,200,49376,0.087550
6,200,49376,0.129590
7,200,49376,0.090641
8,200,49376,0.098344
9,200,49376,0.037698
10,200,49376,0.073384
11,200,49376,0.025653
12,200,49376,0.052251
13,200,49376,0.064051
14,200,49376,0.102658
15,200,49376,0.120718
16,200,49376,0.096532
17,200,49376,0.058263
18,200,49376,0.079806
19,200,49376,0.110622
20,200,49376,0.033224
21,200,49376,0.032705
22,200,49376,0.057496
23,200,49376,0.017923
24,200,49376,0.043016
25,200,49376,0.020733
26,200,49376,0.067085
27,200,49376,0.078788
28,200,49376,0.087618
29,200,49376,0.088151
30,200,49376,0.083411
31,200,49376,0.078073
32,200,49376,0.171448
33,200,49376,0.052095
34,200,49376,0.082898
35,200,49376,0.077847
36,200,49376,0.075208
37,200,49376,0.107724
38,200,49376,0.141359
39,200,49376,0.063017
40,200,49376,0.064657
41,200,49376,0.055127
42,200,49376,0.101272
43,200,49376,0.075302
44,200,49376,0.053296
45,200,49376,0.081153
46,200,49376,0.066418
47,200,49376,0.063241
48,200,49376,0.052951
49,200,49376,0.062425
50,200,49376,0.068232
51,200,49376,0.073147
52,200,49376,0.119264
53,200,49376,0.078914
54,200,49376,0.078276
55,200,49376,0.077587
56,200,49376,0.078949
57,200,49376,0.091488
58,200,49376,0.108301
59,200,49376,0.076061
60,200,49376,0.105464
61,200,49376,0.059745
62,200,49376,0.045192
63,200,49376,0.114720
64,200,49376,0.071537
65,200,49376,0.157773
66,200,49376,0.076822
67,200,49376,0.067286
68,200,49376,0.081799
69,200,49376,0.080529
70,200,49376,0.067301
71,200,49376,0.072719
72,200,49376,0.115711
73,200,49376,0.092912
74,200,49376,0.089527
75,200,49376,0.105794
76,200,49376,0.110821
77,200,49376,0.050977
78,200,49376,0.066345
79,200,49376,0.093887
80,200,49376,0.067993
81,200,49376,0.049668
82,200,49376,0.096994
83,200,49376,0.087426
84,200,49376,0.045053
85,200,49376,0.098598
86,200,49376,0.077639
87,200,49376,0.101732
88,200,49376,0.131559
89,200,49376,0.114911
90,200,49376,0.133440
91,200,49376,0.034976
92,200,49376,0.094984
93,200,49376,0.075079
94,200,49376,0.047959
95,200,49376,0.079406
96,200,49376,0.082664
97,200,49376,0.080449
98,200,49376,0.096870
99,200,49376,0.068050
100,200,49376,0.118429
101,200,49376,0.066103
102,200,49376,0.105161
103,200,49376,0.087049
104,200,49376,0.096033
105,200,49376,0.088031
106,200,49376,0.089982
107,200,49376,0.109435
108,200,49376,0.076913
109,200,49376,0.088001
110,200,49376,0.097376
111,200,49376,0.075089
112,200,49376,0.068557
113,200,49376,0.095492
114,200,49376,0.060621
115,200,49376,0.069883
116,200,49376,0.062612
117,200,49376,0.084223
118,200,49376,0.042136
119,200,49376,0.095238
120,200,49376,0.057807
121,200,49376,0.086097
122,200,49376,0.097086
123,200,49376,0.107955
124,200,49376,0.063008
125,200,49376,0.073401
126,200,49376,0.079751
127,200,49376,0.078571
128,200,49376,0.058155
129,200,49376,0.054409
130,200,49376,0.080334
131,200,49376,0.060528
132,200,49376,0.053367
133,200,49376,0.057418
134,200,49376,0.096742
135,200,49376,0.106980
136,200,49376,0.069752
137,200,49376,0.071419
138,200,49376,0.111422
139,200,49376,0.073979
140,200,49376,0.110520
141,200,49376,0.106579
142,200,49376,0.132680
143,200,49376,0.117519
144,200,49376,0.063141
145,200,49376,0.086144
146,200,49376,0.097057
147,200,49376,0.093644
148,200,49376,0.063848
149,200,49376,0.059265
150,200,49376,0.044282
151,200,49376,0.077868
152,200,49376,0.078224
153,200,49376,0.070935
154,200,49376,0.076746
155,200,49376,0.074076
156,200,49376,0.070122
157,200,49376,0.085664
158,200,49376,0.051826
159,200,49376,0.090712
160,200,49376,0.073941
161,200,49376,0.096437
162,200,49376,0.070141
163,200,49376,0.057140
164,200,49376,0.116042
165,200,49376,0.098370
