timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212358.515519095|book_reviews_nginx_scale|0.00%|12.32MiB|7.406GiB|18
1790212358.515519095|book_reviews_app3_scale|0.94%|140MiB|7.406GiB|55
1790212358.515519095|book_reviews_app1_scale|1.08%|163MiB|7.406GiB|55
1790212358.515519095|book_reviews_app2_scale|1.35%|148.2MiB|7.406GiB|55
1790212358.515519095|book_reviews_cache|0.27%|16.48MiB|7.406GiB|6
1790212358.515519095|book_reviews_search|4.52%|642.1MiB|7.406GiB|130
1790212358.515519095|book_reviews_mongodb|40.89%|362.4MiB|7.406GiB|84
1790212358.515519095|k3d-sa-a4-serverlb|0.00%|5.035MiB|7.406GiB|27
1790212358.515519095|k3d-sa-a4-agent-0|3.54%|1.472GiB|7.406GiB|329
1790212358.515519095|k3d-sa-a4-server-0|11.96%|1.389GiB|7.406GiB|433
1790212358.515519095|k3d-a4-registry|0.00%|12.1MiB|7.406GiB|19
1790212358.515519095|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.69%|36.64MiB|7.406GiB|6
1790212363.124433825|book_reviews_nginx_scale|0.03%|11.98MiB|7.406GiB|18
1790212363.124433825|book_reviews_app3_scale|0.09%|139.3MiB|7.406GiB|55
1790212363.124433825|book_reviews_app1_scale|0.12%|161.4MiB|7.406GiB|55
1790212363.124433825|book_reviews_app2_scale|0.15%|147.7MiB|7.406GiB|55
1790212363.124433825|book_reviews_cache|0.30%|10.04MiB|7.406GiB|6
1790212363.124433825|book_reviews_search|1.11%|634MiB|7.406GiB|130
1790212363.124433825|book_reviews_mongodb|0.37%|128.4MiB|7.406GiB|71
1790212363.124433825|k3d-sa-a4-serverlb|0.43%|4.91MiB|7.406GiB|27
1790212363.124433825|k3d-sa-a4-agent-0|5.60%|1.524GiB|7.406GiB|329
1790212363.124433825|k3d-sa-a4-server-0|11.66%|1.467GiB|7.406GiB|433
1790212363.124433825|k3d-a4-registry|0.00%|12.68MiB|7.406GiB|19
1790212363.124433825|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|24.02MiB|7.406GiB|6
1790212368.044989763|book_reviews_nginx_scale|0.00%|10.89MiB|7.406GiB|18
1790212368.044989763|book_reviews_app3_scale|0.43%|140.7MiB|7.406GiB|55
1790212368.044989763|book_reviews_app1_scale|0.24%|160.7MiB|7.406GiB|55
1790212368.044989763|book_reviews_app2_scale|0.34%|148.5MiB|7.406GiB|55
1790212368.044989763|book_reviews_cache|0.29%|18.18MiB|7.406GiB|6
1790212368.044989763|book_reviews_search|0.70%|622.4MiB|7.406GiB|130
1790212368.044989763|book_reviews_mongodb|5.14%|203MiB|7.406GiB|71
1790212368.044989763|k3d-sa-a4-serverlb|0.00%|4.707MiB|7.406GiB|27
1790212368.044989763|k3d-sa-a4-agent-0|2.64%|1.426GiB|7.406GiB|329
1790212368.044989763|k3d-sa-a4-server-0|53.07%|1.489GiB|7.406GiB|433
1790212368.044989763|k3d-a4-registry|0.00%|10.93MiB|7.406GiB|19
1790212368.044989763|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|43.61MiB|7.406GiB|6
1790212372.653831953|book_reviews_nginx_scale|0.07%|12.26MiB|7.406GiB|18
1790212372.653831953|book_reviews_app3_scale|0.20%|138.1MiB|7.406GiB|55
1790212372.653831953|book_reviews_app1_scale|0.12%|160MiB|7.406GiB|55
1790212372.653831953|book_reviews_app2_scale|0.16%|148.2MiB|7.406GiB|55
1790212372.653831953|book_reviews_cache|0.29%|11.29MiB|7.406GiB|6
1790212372.653831953|book_reviews_search|0.81%|614.1MiB|7.406GiB|130
