timestamp|container|threads
1790212358.515519095|book_reviews_nginx_scale|19
1790212358.515519095|book_reviews_app3_scale|56
1790212358.515519095|book_reviews_app1_scale|56
1790212358.515519095|book_reviews_app2_scale|56
1790212358.515519095|book_reviews_cache|7
1790212358.515519095|book_reviews_search|131
1790212358.515519095|book_reviews_mongodb|72
1790212358.515519095|k3d-sa-a4-serverlb|28
1790212358.515519095|k3d-sa-a4-agent-0|330
1790212358.515519095|k3d-sa-a4-server-0|434
1790212358.515519095|k3d-a4-registry|20
1790212358.515519095|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212363.124433825|book_reviews_nginx_scale|19
1790212363.124433825|book_reviews_app3_scale|56
1790212363.124433825|book_reviews_app1_scale|56
1790212363.124433825|book_reviews_app2_scale|56
1790212363.124433825|book_reviews_cache|7
1790212363.124433825|book_reviews_search|131
1790212363.124433825|book_reviews_mongodb|73
1790212363.124433825|k3d-sa-a4-serverlb|28
1790212363.124433825|k3d-sa-a4-agent-0|330
1790212363.124433825|k3d-sa-a4-server-0|434
1790212363.124433825|k3d-a4-registry|20
1790212363.124433825|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212368.044989763|book_reviews_nginx_scale|19
1790212368.044989763|book_reviews_app3_scale|56
1790212368.044989763|book_reviews_app1_scale|56
1790212368.044989763|book_reviews_app2_scale|56
1790212368.044989763|book_reviews_cache|7
1790212368.044989763|book_reviews_search|131
1790212368.044989763|book_reviews_mongodb|72
1790212368.044989763|k3d-sa-a4-serverlb|28
1790212368.044989763|k3d-sa-a4-agent-0|330
1790212368.044989763|k3d-sa-a4-server-0|434
1790212368.044989763|k3d-a4-registry|20
1790212368.044989763|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212372.653831953|book_reviews_nginx_scale|19
1790212372.653831953|book_reviews_app3_scale|56
1790212372.653831953|book_reviews_app1_scale|56
1790212372.653831953|book_reviews_app2_scale|56
1790212372.653831953|book_reviews_cache|7
1790212372.653831953|book_reviews_search|131
1790212372.653831953|book_reviews_mongodb|72
1790212372.653831953|k3d-sa-a4-serverlb|28
1790212372.653831953|k3d-sa-a4-agent-0|330
1790212372.653831953|k3d-sa-a4-server-0|434
1790212372.653831953|k3d-a4-registry|20
1790212372.653831953|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212377.267121330|book_reviews_nginx_scale|19
1790212377.267121330|book_reviews_app3_scale|56
1790212377.267121330|book_reviews_app1_scale|56
1790212377.267121330|book_reviews_app2_scale|56
1790212377.267121330|book_reviews_cache|7
1790212377.267121330|book_reviews_search|131
1790212377.267121330|book_reviews_mongodb|72
1790212377.267121330|k3d-sa-a4-serverlb|28
1790212377.267121330|k3d-sa-a4-agent-0|330
1790212377.267121330|k3d-sa-a4-server-0|434
1790212377.267121330|k3d-a4-registry|20
1790212377.267121330|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212381.906353711|book_reviews_nginx_scale|19
1790212381.906353711|book_reviews_app3_scale|56
1790212381.906353711|book_reviews_app1_scale|56
1790212381.906353711|book_reviews_app2_scale|56
1790212381.906353711|book_reviews_cache|7
1790212381.906353711|book_reviews_search|131
1790212381.906353711|book_reviews_mongodb|72
1790212381.906353711|k3d-sa-a4-serverlb|28
1790212381.906353711|k3d-sa-a4-agent-0|330
1790212381.906353711|k3d-sa-a4-server-0|434
1790212381.906353711|k3d-a4-registry|20
1790212381.906353711|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790212386.668211128|book_reviews_nginx_scale|19
1790212386.668211128|book_reviews_app3_scale|56
1790212386.668211128|book_reviews_app1_scale|56
1790212386.668211128|book_reviews_app2_scale|56
1790212386.668211128|book_reviews_cache|7
1790212386.668211128|book_reviews_search|131
1790212386.668211128|book_reviews_mongodb|72
1790212386.668211128|k3d-sa-a4-serverlb|28
1790212386.668211128|k3d-sa-a4-agent-0|330
1790212386.668211128|k3d-sa-a4-server-0|434
1790212386.668211128|k3d-a4-registry|20
1790212386.668211128|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
