timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212421.939710206|book_reviews_nginx_scale|0.00%|12.41MiB|7.406GiB|18
1790212421.939710206|book_reviews_app3_scale|0.38%|138.2MiB|7.406GiB|55
1790212421.939710206|book_reviews_app1_scale|0.25%|161MiB|7.406GiB|55
1790212421.939710206|book_reviews_app2_scale|0.37%|148.5MiB|7.406GiB|55
1790212421.939710206|book_reviews_cache|1.93%|14.39MiB|7.406GiB|6
1790212421.939710206|book_reviews_search|0.71%|629.7MiB|7.406GiB|130
1790212421.939710206|book_reviews_mongodb|0.96%|184.9MiB|7.406GiB|71
1790212421.939710206|k3d-sa-a4-serverlb|0.00%|5.559MiB|7.406GiB|27
1790212421.939710206|k3d-sa-a4-agent-0|13.47%|1.549GiB|7.406GiB|329
1790212421.939710206|k3d-sa-a4-server-0|22.51%|1.502GiB|7.406GiB|433
1790212421.939710206|k3d-a4-registry|0.00%|17.09MiB|7.406GiB|19
1790212421.939710206|proyecto-del-curso-grupo_10_los_inhackeables-db-1|4.54%|33.8MiB|7.406GiB|6
1790212426.684967226|book_reviews_nginx_scale|0.00%|11.9MiB|7.406GiB|18
1790212426.684967226|book_reviews_app3_scale|0.14%|137.1MiB|7.406GiB|55
1790212426.684967226|book_reviews_app1_scale|0.09%|159.8MiB|7.406GiB|55
1790212426.684967226|book_reviews_app2_scale|0.13%|148.7MiB|7.406GiB|55
1790212426.684967226|book_reviews_cache|1.93%|12.85MiB|7.406GiB|6
1790212426.684967226|book_reviews_search|0.61%|619MiB|7.406GiB|130
1790212426.684967226|book_reviews_mongodb|17.76%|164.8MiB|7.406GiB|71
1790212426.684967226|k3d-sa-a4-serverlb|0.00%|4.984MiB|7.406GiB|27
1790212426.684967226|k3d-sa-a4-agent-0|5.46%|1.449GiB|7.406GiB|329
1790212426.684967226|k3d-sa-a4-server-0|10.92%|1.378GiB|7.406GiB|433
1790212426.684967226|k3d-a4-registry|0.00%|11.68MiB|7.406GiB|19
1790212426.684967226|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|22.24MiB|7.406GiB|6
1790212431.349000259|book_reviews_nginx_scale|0.00%|11.91MiB|7.406GiB|18
1790212431.349000259|book_reviews_app3_scale|0.42%|139.2MiB|7.406GiB|55
