timestamp|container|threads
1790207812.009356827|book_reviews_nginx_scale|19
1790207812.009356827|book_reviews_app1_scale|56
1790207812.009356827|book_reviews_app2_scale|54
1790207812.009356827|book_reviews_app3_scale|55
1790207812.009356827|book_reviews_search|135
1790207812.009356827|book_reviews_mongodb|72
1790207812.009356827|book_reviews_cache|13
1790207812.009356827|k3d-sa-a4-serverlb|28
1790207812.009356827|k3d-sa-a4-agent-0|371
1790207812.009356827|k3d-sa-a4-server-0|401
1790207812.009356827|k3d-a4-registry|18
1790207812.009356827|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
1790207816.538406625|book_reviews_nginx_scale|19
1790207816.538406625|book_reviews_app1_scale|56
1790207816.538406625|book_reviews_app2_scale|54
1790207816.538406625|book_reviews_app3_scale|55
1790207816.538406625|book_reviews_search|135
1790207816.538406625|book_reviews_mongodb|78
1790207816.538406625|book_reviews_cache|7
1790207816.538406625|k3d-sa-a4-serverlb|28
1790207816.538406625|k3d-sa-a4-agent-0|371
1790207816.538406625|k3d-sa-a4-server-0|401
1790207816.538406625|k3d-a4-registry|18
1790207816.538406625|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7
